# 1486717488553 Fri Feb 10 17:04:48 2017
# msec_offset cycle_no url_no client_no (ip) indic info
3 0 0 1 !! OK 200
4 0 0 2 !! OK 200
5 0 0 3 !! OK 200
7 0 0 4 !! OK 200
7 0 0 5 !! OK 200
1019 0 0 6 !! OK 200
1019 0 0 15 !! OK 200
1020 0 0 14 !! OK 200
1021 0 0 13 !! OK 200
1022 0 0 12 !! OK 200
1023 0 0 11 !! OK 200
1025 0 0 10 !! OK 200
1027 0 0 9 !! OK 200
1029 0 0 8 !! OK 200
1030 0 0 7 !! OK 200
2036 0 0 16 !! OK 200
2036 0 0 24 !! OK 200
2036 0 0 23 !! OK 200
2040 0 0 22 !! OK 200
2041 0 0 21 !! OK 200
2043 0 0 20 !! OK 200
2044 0 0 19 !! OK 200
2046 0 0 18 !! OK 200
2046 0 0 17 !! OK 200
2048 0 0 25 !! OK 200
3127 0 0 26 !! OK 200
3129 0 0 27 !! OK 200
3129 0 0 33 !! OK 200
3130 0 0 34 !! OK 200
3132 0 0 32 !! OK 200
3133 0 0 31 !! OK 200
3134 0 0 35 !! OK 200
3136 0 0 30 !! OK 200
3136 0 0 29 !! OK 200
3138 0 0 28 !! OK 200
4135 0 0 36 !! OK 200
4137 0 0 43 !! OK 200
4139 0 0 42 !! OK 200
4140 0 0 41 !! OK 200
4141 0 0 40 !! OK 200
4143 0 0 39 !! OK 200
4143 0 0 38 !! OK 200
4144 0 0 37 !! OK 200
4145 0 0 45 !! OK 200
4147 0 0 44 !! OK 200
5146 0 0 46 !! OK 200
5146 0 0 55 !! OK 200
5148 0 0 54 !! OK 200
5148 0 0 53 !! OK 200
5150 0 0 52 !! OK 200
5151 0 0 51 !! OK 200
5153 0 0 50 !! OK 200
5154 0 0 49 !! OK 200
5155 0 0 48 !! OK 200
5157 0 0 47 !! OK 200
6162 0 0 56 !! OK 200
6163 0 0 64 !! OK 200
6164 0 0 63 !! OK 200
6165 0 0 62 !! OK 200
6167 0 0 61 !! OK 200
6168 0 0 60 !! OK 200
6168 0 0 59 !! OK 200
6170 0 0 58 !! OK 200
6171 0 0 57 !! OK 200
6174 0 0 65 !! OK 200
7194 0 0 72 !! OK 200
7195 0 0 66 !! OK 200
7196 0 0 74 !! OK 200
7198 0 0 73 !! OK 200
7200 0 0 71 !! OK 200
7201 0 0 70 !! OK 200
7202 0 0 69 !! OK 200
7203 0 0 68 !! OK 200
7205 0 0 67 !! OK 200
7206 0 0 75 !! OK 200
8194 0 0 84 !! OK 200
8196 0 0 76 !! OK 200
8197 0 0 83 !! OK 200
8199 0 0 82 !! OK 200
8200 0 0 81 !! OK 200
8202 0 0 80 !! OK 200
8204 0 0 79 !! OK 200
8207 0 0 78 !! OK 200
8207 0 0 77 !! OK 200
8208 0 0 85 !! OK 200
9195 0 0 90 !! OK 200
9197 0 0 86 !! OK 200
9198 0 0 94 !! OK 200
9198 0 0 93 !! OK 200
9199 0 0 92 !! OK 200
9202 0 0 91 !! OK 200
9203 0 0 89 !! OK 200
9206 0 0 88 !! OK 200
9208 0 0 87 !! OK 200
9209 0 0 95 !! OK 200
10180 0 0 96 !! OK 200
10181 0 0 97 !! OK 200
10182 0 0 99 !! OK 200
10183 0 0 98 !! OK 200
10185 0 0 100 !! OK 200
